Date,Time,Air.Temp,Soil.Temp,Max.Relative.Humidity,Min.Relative.Humidity,Wind.Speed..kph.,Wind.Direction,Maximum.Wind..kph.,Radiation..MJ,Hourly.Rain..mm,Total.Rain..mm.
1/1/09,100,18.93,28.31,73.5,59.4,0,0,0,0,0,0
1/1/09,200,18.18,27.76,75.9,70.4,0,0,0,0,0,0
1/1/09,300,17.41,27.24,77.3,74.4,0,0,0,0,0,0
1/1/09,400,16.23,26.77,83.1,75.7,0,0,0,0,0,0
1/1/09,500,15.63,26.3,82.5,80.1,0,0,0,0,0,0
1/1/09,600,15.97,25.86,80.1,75.5,0,0,0,0.001,0,0
1/1/09,700,17.69,25.45,79.9,75.7,0.006,106.9,1.26,0.196,0,0
1/1/09,800,22.18,25.07,76,53.14,2.288,110.6,6.66,0.962,0,0
1/1/09,900,27.16,24.87,56.79,38.57,3.988,90.3,7.47,1.826,0,0
1/1/09,1000,29.94,25.36,41.82,24.94,6.693,3.839,16.65,2.286,0,0
1/1/09,1100,33.07,26.09,29.03,19.49,7,343.3,14.22,3.168,0,0
1/1/09,1200,34.58,27.11,25.84,14.82,7.96,293.9,15.3,3.624,0,0
1/1/09,1300,35.7,28.29,23,14.68,7.02,239.8,13.95,3.191,0,0
1/1/09,1400,35.73,29.16,20.87,14.85,8.28,233.9,14.22,2.117,0,0
1/1/09,1500,36.11,29.75,21.08,15.12,8.43,240.4,15.3,3.05,0,0
1/1/09,1600,35.7,30.28,21,13.84,10.17,253.5,19.08,2.32,0,0
1/1/09,1700,35.81,30.52,21.95,13.94,10.47,237.6,19.35,2.137,0,0
1/1/09,1800,36.11,30.6,19.96,12.82,12.45,235.4,23.13,1.977,0,0
1/1/09,1900,36.28,30.6,18.23,13.53,8.76,233.2,17.19,1.159,0,0
1/1/09,2000,34.8,30.49,20.13,14.41,7.55,216.4,13.95,0.487,0,0
1/1/09,2100,31.69,30.26,31.26,19.45,1.372,187.7,8.28,0.01,0,0
1/1/09,2200,28.04,29.86,47.1,22.33,3.724,198.1,10.17,0,0,0
1/1/09,2300,27.57,29.37,28.52,23.92,3.92,170.7,8.55,0,0,0
1/1/09,2400,26.52,28.91,42.03,23.82,4.515,41.04,11.52,0,0,0
2/1/09,100,25.01,28.45,54.76,41.82,0.643,25.6,4.23,0,0,0
2/1/09,200,22.58,28.01,64.31,54.73,0.275,21.69,5.58,0,0,0
2/1/09,300,21.91,27.58,67.66,63.56,0.878,348.6,7.47,0,0,0
2/1/09,400,21.94,27.22,67.76,64.44,0.463,345.6,5.58,0,0,0
2/1/09,500,22.45,26.93,66.88,62.45,1.332,33.3,8.55,0,0,0
2/1/09,600,22.04,26.65,69.55,65.43,0,0,0,0,0,0
2/1/09,700,22.18,26.4,71.9,68.54,0.372,64.99,8.28,0.109,0,0
2/1/09,800,25.31,26.17,68.71,59.39,4.605,44.9,13.95,0.714,0,0
2/1/09,900,26.18,26.07,61.38,57.86,8.3,23.48,16.11,1.642,0,0
2/1/09,1000,28.14,26.47,60.23,51.36,6.097,15.86,12.87,2.354,0,0
2/1/09,1100,29.23,27.14,57.28,47.23,5.086,37.76,14.22,2.114,0,0
2/1/09,1200,31.21,27.9,49.74,39.28,4.559,85,10.98,3.084,0,0
2/1/09,1300,32.09,28.93,44.59,35.28,5.036,222.7,12.33,3.679,0,0
2/1/09,1400,33.3,30.19,44.01,30.07,6.111,221.2,14.49,3.974,0,0
2/1/09,1500,34.58,31.42,33.55,24.83,4.906,265.9,12.33,3.977,0,0
2/1/09,1600,34.85,32.13,38.9,22.83,7.7,316.4,19.35,2.118,0,0
2/1/09,1700,30.78,32.16,40.12,34.38,9,350.8,18.54,0.829,0,0
2/1/09,1800,33.05,31.85,38.13,27.78,6.624,320.1,16.11,1.711,0,0
2/1/09,1900,34.46,31.4,30.62,22.6,2.948,317.7,9.36,0.983,0,0
2/1/09,2000,34.09,31.12,26.25,15.09,8.71,209.7,15.84,0.395,0,0
