"Date","Time","Air.Temp","Soil.Temp","Max.Relative.Humidity","Min.Relative.Humidity","Wind.Speed..kph.","Wind.Direction","Maximum.Wind..kph.","Radiation..MJ","Hourly.Rain..mm","Total.Rain..mm."
"1/1/15",100,20.2,26.81,55.73,48.15,0.056,134.4,5.85,0,0,0
"1/1/15",200,19.69,26.13,62.37,50.04,0.242,108.5,6.93,0,0,0
"1/1/15",300,20.61,25.56,71.3,61.28,0.144,91.2,7.2,0,0,0
"1/1/15",400,23.68,25.14,73.7,66.22,5.482,54.97,15.3,0,0,0
"1/1/15",500,23.61,24.85,67.74,66.15,5.696,52.12,13.14,0.001,0,0
"1/1/15",600,23.91,24.75,68.82,65.5,5.559,39.85,14.22,0.177,0,0
"1/1/15",700,26.31,24.79,65.67,58.39,10.56,35.96,24.48,0.903,0,0
"1/1/15",800,28.1,25.32,58.99,53,14.83,28.43,28.26,1.714,0,0
"1/1/15",900,29.92,26.13,54.76,46.53,16.48,25.07,29.34,2.409,0,0
"1/1/15",1000,31.98,27.2,48.33,39.9,15.44,17.21,26.1,3.177,0,0
"1/1/15",1100,33.52,28.47,42.06,33.43,13.91,16.79,24.21,3.679,0,0
"1/1/15",1200,34.67,29.59,34.78,26.05,12.66,1.512,26.37,3.021,0,0
"1/1/15",1300,37.21,30.47,30.11,18.51,11.16,335.7,27.18,3.604,0,0
"1/1/15",1400,37.89,31.55,24.6,18.27,8.31,333.4,22.32,3.129,0,0
"1/1/15",1500,38.06,32.33,23.99,18.88,8.87,284.1,25.02,2.595,0,0
"1/1/15",1600,39.04,32.76,25.41,16.27,5.509,300.4,15.57,2.709,0,0
"1/1/15",1700,40.05,33.13,22.09,14.52,5.776,288.9,18,2.193,0,0
"1/1/15",1800,38.87,33.12,24.94,16.41,11.12,41.68,25.83,0.397,0,0
"1/1/15",1900,34.21,32.31,32.45,21.05,8.67,76.4,20.7,0.229,0,0
"1/1/15",2000,30.83,31.42,38.21,32.42,4.066,77.5,12.6,0.007,0,0
"1/1/15",2100,28.95,30.7,38.01,34.9,5.005,36.3,15.03,0,0,0
"1/1/15",2200,28.91,30,49.08,35.1,1.945,57.68,12.06,0,0,0
"1/1/15",2300,27.12,29.43,49.42,41.46,1.408,152.5,9.36,0,0,0
