Date,Time,Air.Temp,Soil.Temp,Max.Relative.Humidity,Min.Relative.Humidity,Wind.Speed..kph.,Wind.Direction,Maximum.Wind..kph.,Radiation..MJ,Hourly.Rain..mm,Total.Rain..mm.
1/1/10,100,20.89,23.68,86.1,83.2,1.814,115.9,9.09,0,0,0
1/1/10,200,20.55,23.59,87.1,85.7,0.029,99.6,2.61,0,0,0
1/1/10,300,20.45,23.51,88.2,86.2,0.087,77.4,3.96,0.001,0.2,0.2
1/1/10,400,20.62,23.46,86.2,81.5,1.902,10.1,8.82,0.001,0.4,0.6
1/1/10,500,20.55,23.41,85.1,81.1,3.322,20.55,9.9,0.001,0.4,1
1/1/10,600,19.98,23.35,86.5,83.6,2.081,53.58,8.01,0.033,0.2,1.2
1/1/10,700,19.94,23.29,86.2,83.6,3.538,59.32,8.28,0.176,0.6,1.8
1/1/10,800,20.62,23.26,85.7,81.8,6.282,41.95,17.73,0.396,0.6,2.4
1/1/10,900,21.19,23.31,84.2,81.8,7.8,38.25,16.11,0.644,0.4,2.8
1/1/10,1000,21.3,23.47,88.2,82.5,9.45,22.04,18.81,0.906,0.6,3.4
1/1/10,1100,21.32,23.66,88.2,86.5,10.36,13.58,18.54,1.079,0.4,3.8
1/1/10,1200,21.26,23.83,90,87.5,8.2,7.95,18,0.65,2.4,6.2
1/1/10,1300,21.16,23.92,90.7,88.5,7.05,9,15.03,0.435,4.6,10.8
1/1/10,1400,21.43,23.96,90.9,90,7.62,27,15.57,0.61,4.4,15.2
1/1/10,1500,21.36,24.05,91,89.8,5.255,36.6,15.3,0.422,3.4,18.6
1/1/10,1600,21.3,24.06,91.4,90.5,2.689,48.65,12.6,0.3,3.2,21.8
1/1/10,1700,21.4,24.07,91.5,90.9,5.159,52.45,15.84,0.149,1.8,23.6
1/1/10,1800,21.3,24.06,91.4,90.3,5.564,25.19,13.41,0.112,3.8,27.4
1/1/10,1900,21.26,24.01,92,90.5,2.14,347.9,15.3,0.016,12,39.4
1/1/10,2000,20.62,23.87,92.3,90.6,1.961,351.1,15.03,0.001,0.6,40
1/1/10,2100,19.94,23.7,91.5,90.6,0,0,0,0.001,1.4,41.4
1/1/10,2200,19.77,23.58,92.2,91.3,0.275,67.86,9.09,0.001,1.6,43
1/1/10,2300,19.47,23.48,92.3,91.7,0,0,0,0.001,0.4,43.4
1/1/10,2400,19.71,23.37,92.5,92.1,0.038,6.127,6.39,0.001,0.2,43.6
2/1/10,100,20.15,23.3,92.9,92.3,0,0,0,0.001,0,43.6
2/1/10,200,21.03,23.25,93,92.4,0.835,9.81,15.03,0.001,0.4,44
2/1/10,300,21.06,23.26,92.5,92,1.82,8.65,13.14,0.001,0,44
2/1/10,400,21.06,23.29,92.1,91.8,0.479,15.12,9.63,0.001,0.2,44.2
2/1/10,500,21.23,23.27,92,90.9,2.15,358.3,14.49,0.001,0,44.2
2/1/10,600,21.23,23.29,91.6,90.9,2.933,7.15,14.76,0.072,0.8,45
2/1/10,700,21.36,23.33,91.6,90.9,1.946,6.592,12.06,0.11,2.4,47.4
2/1/10,800,21.3,23.33,92.4,91.5,7.73,3.517,22.32,0.055,9.4,56.8
2/1/10,900,21.6,23.26,92.3,91.7,10.18,353.2,22.59,0.372,1.2,58
2/1/10,1000,21.74,23.36,91.9,90.8,13.28,346,27.72,0.731,0.4,58.4
2/1/10,1100,21.97,23.54,91.8,90.4,10.14,351,21.78,0.901,0.8,59.2
2/1/10,1200,23.28,23.78,92,88.4,9.32,351,22.86,1.354,0.6,59.8
2/1/10,1300,24.05,24.14,89.7,85.3,8.25,335.6,17.73,0.98,0,59.8
2/1/10,1400,24.9,24.39,88.8,84,7.11,327.2,19.08,1.076,1.4,61.2
2/1/10,1500,26.86,24.82,85.7,72.7,1.847,317.5,13.68,1.771,0,61.2
2/1/10,1600,29.39,25.41,75.4,59.99,0.464,240.1,6.93,2.442,0,61.2
2/1/10,1700,29.9,25.85,66.48,56.5,6.081,264.1,11.79,1.836,0,61.2
2/1/10,1800,31.32,26.01,62.09,51.73,1.837,242.1,8.82,1.046,0,61.2
2/1/10,1900,31.19,26.02,66.76,53.12,0.027,16.31,2.88,0.3,0,61.2
2/1/10,2000,27.87,25.96,82.8,66.62,0.231,26.69,3.96,0.002,0,61.2
2/1/10,2100,25.03,25.8,84.1,82.6,0.578,0.285,6.12,0,0,61.2
2/1/10,2200,24.57,25.6,86.6,84.1,0,0,0,0,0,61.2
2/1/10,2300,23.99,25.41,88.9,86.5,0,0,0,0.001,0,61.2
2/1/10,2400,23.32,25.24,88.9,88.3,1.691,2.993,9.36,0,0,61.2
3/1/10,100,23.21,25.1,88.7,88.3,1.376,358.3,8.82,0,0,61.2
3/1/10,200,23.02,25,89.2,88.5,0.324,2.689,8.01,0,0,61.2
3/1/10,300,22.78,24.88,90.5,88.9,1.332,311.9,8.01,0,0,61.2
3/1/10,400,22.68,24.8,91,90.4,0,0,0,0.001,0,61.2
3/1/10,500,22.55,24.71,90.7,90.3,0,0,0,0.001,0,61.2
3/1/10,600,22.79,24.58,90.9,89.6,0.003,290.3,0.99,0.149,0,61.2
3/1/10,700,24.27,24.48,89.4,77.8,3.499,180.5,10.44,0.885,0,61.2
3/1/10,800,25.17,24.51,83.1,76.8,4.642,120.8,10.17,0.796,0,61.2
3/1/10,900,26.99,24.75,80,69.46,3.75,99.2,9.36,1.534,0,61.2
3/1/10,1000,28.51,25.2,74.2,63.36,3.633,45.55,10.17,2.887,0,61.2
3/1/10,1100,30.16,25.91,67.46,57.24,3.714,25.69,9.63,3.598,0.2,61.4
3/1/10,1200,30.77,26.81,67.12,51.42,4.256,151.1,11.25,3.984,0,61.4
3/1/10,1300,31.18,27.71,60.05,41.85,6.285,263.7,16.38,3.636,0,61.4
3/1/10,1400,31.75,28.49,56.26,40.36,9.32,254.2,18.27,3.75,0,61.4
3/1/10,1500,31.72,29.02,55.31,44.15,10.44,247.4,19.35,3.108,0,61.4
3/1/10,1600,31.72,29.2,56.77,44.38,9.61,232.6,18.54,2.575,0,61.4
3/1/10,1700,31.18,29.21,63.37,45.57,11.17,132.2,24.21,1.135,0,61.4
3/1/10,1800,28.79,28.94,60.97,52.95,8.39,138.3,17.73,1.076,0,61.4
3/1/10,1900,29.06,28.48,63.58,54.14,6.713,134.5,14.22,0.324,0,61.4
3/1/10,2000,26.15,28,66.45,62.09,7.21,129.3,14.49,0.005,0,61.4
3/1/10,2100,24.57,27.52,72.5,63.31,10.07,143.7,16.38,0,0,61.4
3/1/10,2200,23.56,27.01,77.4,72.1,7.46,140.8,11.52,0,0,61.4
3/1/10,2300,23.33,26.6,77.5,75.7,10,134.9,21.24,0,0,61.4
3/1/10,2400,23.09,26.2,79.8,74.9,7.04,119.5,22.05,0,0,61.4
4/1/10,100,21.91,25.88,83,79.8,1.759,114.9,7.74,0,0,61.4
4/1/10,200,21.16,25.57,86.8,82.9,0.882,116.1,14.76,0,0,61.4
4/1/10,300,20.59,25.3,85.7,84.1,0.535,145.9,6.66,0,0,61.4
4/1/10,400,20.28,25.03,86.5,85.2,5.499,157.4,9.9,0,0,61.4
4/1/10,500,19.81,24.8,86.8,85.2,3.308,138.7,7.74,0.001,0,61.4
4/1/10,600,20.28,24.59,88.3,83.7,0.056,162.6,3.69,0.141,0,61.4
4/1/10,700,22.27,24.39,84.3,72.3,4.604,125.3,11.79,0.867,0,61.4
4/1/10,800,23.92,24.31,76,66.93,7.28,130.4,12.06,1.647,0,61.4
4/1/10,900,26.76,24.58,72.1,52.28,4.665,113.2,11.52,2.39,0,61.4
4/1/10,1000,28.18,25.11,60.57,49.3,2.528,84.5,10.71,3.028,0,61.4
4/1/10,1100,28.89,25.78,59.18,47.74,3.979,68.97,12.33,3.486,0,61.4
4/1/10,1200,30.43,26.63,55.82,43.71,4.91,70.5,13.95,3.728,0,61.4
4/1/10,1300,31.21,27.41,52.33,40.66,4.516,18.36,12.6,3.642,0,61.4
4/1/10,1400,31.48,28.08,51.76,39.11,6.817,324.6,17.73,3.483,0,61.4
4/1/10,1500,32.23,28.59,46.89,34.84,4.974,246.7,12.33,3.134,0,61.4
4/1/10,1600,32.6,28.88,47.53,34.95,5.089,191.3,12.33,2.682,0,61.4
4/1/10,1700,32.36,28.88,45.4,33.8,5.899,176.9,14.22,1.893,0,61.4
4/1/10,1800,32.74,28.78,42.6,32.58,3.85,153,10.44,1.08,0,61.4
4/1/10,1900,32.31,28.47,52.85,33.87,1.528,121.8,9.36,0.332,0,61.4
4/1/10,2000,29.36,28.1,63.41,49.67,0.855,108.5,6.39,0.005,0,61.4
4/1/10,2100,26.08,27.66,66.36,58.27,6.301,35.07,25.29,0,0,61.4
4/1/10,2200,24.81,27.24,71.2,63.42,9.9,35.72,22.05,0,0,61.4
4/1/10,2300,23.46,26.83,74.7,69.18,8.52,28.51,20.7,0,0,61.4
4/1/10,2400,22.58,26.44,75.4,72.7,7.29,28.33,14.22,0,0,61.4
5/1/10,100,22.51,26.14,75.3,73,5.11,12.42,12.33,0,0,61.4
5/1/10,200,21.91,25.86,75,70,8.18,16.55,17.73,0,0,61.4
5/1/10,300,21.5,25.58,74.2,70.8,7.36,1.777,16.92,0,0,61.4
5/1/10,400,20.72,25.3,73.9,71.1,5.604,17.89,13.95,0,0,61.4
5/1/10,500,20.55,25.04,76.1,71.7,2.386,359.7,8.28,0.004,0,61.4
5/1/10,600,20.28,24.8,78.1,75,0.62,347.6,7.2,0.132,0,61.4
5/1/10,700,22.14,24.64,78.1,70.2,1.695,0.117,8.82,0.685,0,61.4
5/1/10,800,24.19,24.6,72.2,66.87,1.42,4.872,7.74,1.161,0,61.4
5/1/10,900,26.05,24.87,69.6,56.03,1.269,44.53,7.2,1.941,0,61.4
5/1/10,1000,27.06,25.25,62.56,54.03,2.51,357.8,9.09,2.004,0,61.4
5/1/10,1100,27.16,25.68,59.28,49.4,3.691,346.5,9.63,2.056,0,61.4
5/1/10,1200,28.65,26.23,54.27,40.13,4.708,344.8,11.25,3.454,0,61.4
5/1/10,1300,29.69,26.98,50.38,37.25,4.304,279.2,12.33,3.441,0,61.4
5/1/10,1400,30.67,27.54,47.06,35.32,4.333,261.9,10.71,3.242,0,61.4
5/1/10,1500,30.91,27.94,49.09,38.33,5.959,211.3,12.87,2.94,0,61.4
5/1/10,1600,31.42,28.12,47.26,35.86,5.324,207.4,15.03,2.499,0,61.4
5/1/10,1700,32.54,28.16,41.78,32.89,4.074,288.2,11.79,1.703,0,61.4
5/1/10,1800,32.03,28.13,44.59,34.31,3.569,297.5,11.52,0.964,0,61.4
5/1/10,1900,32.14,27.93,52.21,34.21,1.383,226.1,6.66,0.415,0,61.4
5/1/10,2000,29.33,27.68,66.59,51.4,0.007,182.9,1.26,0.004,0,61.4
5/1/10,2100,26.49,27.36,68.15,62.8,0.48,108.1,6.12,0,0,61.4
5/1/10,2200,25.14,27.01,73.5,64.94,0,0,0,0,0,61.4
5/1/10,2300,23.42,26.69,79.6,73.1,0,0,0,0,0,61.4
5/1/10,2400,22.72,26.37,83.6,77.8,0,0,0,0,0,61.4
6/1/10,100,22.58,26.1,82.9,79.7,0,0,0,0,0,61.4
6/1/10,200,22.51,25.84,83.8,78.3,0.292,78.9,7.74,0,0,61.4
6/1/10,300,22.04,25.63,82.7,76.7,0.151,81.9,7.2,0,0,61.4
6/1/10,400,22.55,25.44,77.1,70.1,1.943,36.96,10.17,0,0,61.4
6/1/10,500,22.48,25.27,74.2,70.3,3.765,11.54,10.17,0.001,0,61.4
6/1/10,600,22.21,25.13,76.3,73.1,2.551,20.96,11.52,0.118,0,61.4
6/1/10,700,23.76,24.99,73.6,69.04,6.122,26.71,11.25,0.425,0,61.4
6/1/10,800,25.3,24.98,70.1,62.73,7.36,4.231,17.19,1.174,0,61.4
6/1/10,900,27.16,25.18,65.34,55.69,9.52,354.5,17.73,2.035,0,61.4
6/1/10,1000,28.08,25.56,59.96,53.02,8.67,341.7,17.19,2.582,0,61.4
6/1/10,1100,30.04,26.05,57.96,47.5,7.24,317.5,15.57,3.135,0,61.4
6/1/10,1200,30.98,26.72,53.12,40.9,6.682,226,13.68,3.477,0,61.4
6/1/10,1300,32.23,27.33,47.46,37.52,4.042,189.1,11.52,3.349,0,61.4
6/1/10,1400,32.6,27.96,46.85,35.66,6.244,237.8,18.27,3.571,0,61.4
6/1/10,1500,33.44,28.34,43.34,32.98,6.148,190.9,19.89,3.025,0,61.4
6/1/10,1600,33.61,28.52,41.14,32.92,4.118,165,13.95,2.279,0,61.4
6/1/10,1700,33.07,28.53,79,33.53,12.46,171.1,24.21,0.369,8.6,70
6/1/10,1800,25.29,28.26,76.4,62.61,5.78,157.5,15.84,0.21,0,70
6/1/10,1900,25.26,27.75,73.6,63.09,4.105,147.2,9.63,0.085,0,70
6/1/10,2000,24.87,27.34,78.7,66.23,0.976,296.1,5.85,0.007,0,70
6/1/10,2100,24.07,27.03,81,75.6,0,0,0,0.001,0,70
6/1/10,2200,23.53,26.79,84.3,76.7,0,0,0,0.001,0,70
6/1/10,2300,23.66,26.55,80.3,69.01,0,0,0,0.001,0,70
6/1/10,2400,23.56,26.33,74.2,67.59,0,0,0,0.001,0,70
7/1/10,100,22.85,26.13,80,73.3,1.74,151.4,12.6,0.001,0,70
7/1/10,200,23.06,25.9,78.8,73.7,4.405,160.2,13.14,0.001,0,70
7/1/10,300,22.85,25.69,78.7,75,1.991,163.2,9.09,0.001,0,70
7/1/10,400,21.87,25.51,84.2,77.5,0.154,61.14,3.69,0.001,0,70
7/1/10,500,21.3,25.33,85.4,80.4,4.181,146.8,10.98,0.003,0,70
7/1/10,600,21.16,25.18,81,78.3,2.926,119.1,10.98,0.092,0,70
7/1/10,700,22.58,25.01,78.9,74.6,2.654,107.6,8.82,0.42,0,70
7/1/10,800,24.63,24.93,76.6,69.34,4.075,139,10.44,1.031,0,70
7/1/10,900,28.14,25.15,72.9,57.18,5.088,117.5,9.63,2.163,0,70
7/1/10,1000,29.63,25.68,62.09,50.75,4.802,47.02,13.14,2.239,0,70
7/1/10,1100,31.25,26.3,57.08,44.42,5.996,43.56,18,3.483,0.2,70.2
7/1/10,1200,31.99,26.98,54.3,39.85,3.046,328.9,10.44,3.077,0,70.2
7/1/10,1300,33.11,27.54,51.32,38.09,3.708,117.5,13.95,3.141,0,70.2
7/1/10,1400,32.56,27.93,51.22,39.68,9.42,114.9,20.16,3.026,0,70.2
7/1/10,1500,32.2,28.1,48.65,35.15,8.9,48.43,17.46,2.588,0,70.2
7/1/10,1600,31.32,28.16,48.76,36.64,10.15,6.458,22.32,2.197,0,70.2
7/1/10,1700,29.67,28.15,54.68,43.85,8.01,1.49,23.67,0.996,0,70.2
7/1/10,1800,27.77,28.06,55.79,49.13,5.544,54.25,13.68,0.164,0,70.2
7/1/10,1900,26.69,27.77,60.23,51.56,7.81,156.8,20.97,0.089,0,70.2
7/1/10,2000,24.6,27.45,62.17,54.82,8.72,138,20.97,0.001,0,70.2
7/1/10,2100,23.76,27.07,71.2,62,3.115,129.5,16.11,0,0,70.2
7/1/10,2200,23.23,26.69,76.8,70.1,0.067,104.7,3.69,0,0,70.2
7/1/10,2300,22.31,26.42,79,76.2,0.003,30.66,0.99,0,0,70.2
7/1/10,2400,21.67,26.14,77,74.8,0,0,0,0,0,70.2
8/1/10,100,21.13,25.88,80.6,76.8,0,0,0,0,0,70.2
8/1/10,200,20.48,25.61,82.8,78,0.05,136.7,2.88,0,0,70.2
8/1/10,300,20.01,25.34,84.9,82.4,0,0,0,0,0,70.2
8/1/10,400,20.11,25.09,85.2,83,0.227,141.4,4.5,0,0,70.2
8/1/10,500,19.87,24.88,86.7,83.8,0.247,153.7,4.23,0.001,0,70.2
8/1/10,600,20.99,24.69,88,77.1,0.403,139,5.04,0.141,0,70.2
8/1/10,700,23.62,24.51,78.3,65.38,1.532,107.3,8.28,0.815,0,70.2
8/1/10,800,25.3,24.47,68.72,59.45,6.34,133.7,12.06,1.583,0,70.2
8/1/10,900,28.01,24.71,62.29,47,3.008,94,9.36,2.333,0,70.2
8/1/10,1000,29.02,25.2,52.55,40.2,5.654,45.25,18.54,2.844,0,70.2
8/1/10,1100,30.75,25.79,48.05,34.44,7.35,28.42,15.57,3.435,0,70.2
8/1/10,1200,31.25,26.39,43.78,33.63,6.398,44.81,16.92,3.256,0,70.2
8/1/10,1300,32.36,26.99,42.76,31.09,5.572,36.65,16.92,3.858,0,70.2
8/1/10,1400,32.3,27.33,39.99,30.38,6.425,131.1,18.27,2.216,0,70.2
8/1/10,1500,32.91,27.51,39.65,30.45,7.3,162.3,21.24,3.34,0,70.2
8/1/10,1600,33.21,27.64,36.03,27.27,6.158,146.8,14.49,2.706,0,70.2
8/1/10,1700,33.76,27.7,33.83,26.42,7.21,130.3,18.27,1.905,0,70.2
8/1/10,1800,33.73,27.67,33.6,27.78,7.2,127.9,18.27,1.079,0,70.2
8/1/10,1900,33.12,27.54,38.17,28.49,3.618,130.6,9.9,0.334,0,70.2
8/1/10,2000,30.48,27.32,46.59,34.48,2.215,138,6.93,0.005,0,70.2
8/1/10,2100,27.97,26.99,52.21,44.53,3.27,141.1,8.28,0,0,70.2
8/1/10,2200,27.95,26.67,52.25,43.24,7.05,83.8,16.38,0,0,70.2
8/1/10,2300,26.7,26.4,58.41,51.27,5.147,359.4,11.25,0,0,70.2
8/1/10,2400,25.41,26.16,61.86,57.16,6.394,356.6,15.03,0,0,70.2
9/1/10,100,24.16,25.92,66.34,61.63,4.565,351.3,13.68,0,0,70.2
9/1/10,200,22.99,25.68,70.4,65.29,1.185,4.933,7.47,0,0,70.2
9/1/10,300,21.77,25.46,76.7,70.2,0.757,3.911,7.2,0,0,70.2
9/1/10,400,20.55,25.24,79.5,76.8,0,0,0,0,0,70.2
9/1/10,500,19.67,25.03,83.3,78.9,0,0,0,0,0,70.2
9/1/10,600,20.59,24.8,86.3,77.2,0,0,0,0.137,0,70.2
9/1/10,700,23.49,24.57,77.6,64.1,2.235,358,8.01,0.82,0,70.2
9/1/10,800,25.67,24.44,65.92,51.19,6.194,7.21,13.95,1.603,0,70.2
9/1/10,900,27.47,24.63,56.07,42.8,6.322,10.44,12.6,2.368,0,70.2
9/1/10,1000,28.52,25.01,50.21,36.1,7.4,353.5,16.65,3.022,0,70.2
9/1/10,1100,29.9,25.54,44.09,31.74,5.777,344.6,17.73,3.499,0,70.2
9/1/10,1200,31.32,26.14,40.16,27.81,4.718,26.17,12.6,3.745,0,70.2
9/1/10,1300,31.79,26.71,39.08,28.28,6.817,213.1,17.46,3.77,0,70.2
9/1/10,1400,32.57,27.13,34.91,25.85,8.18,177.5,17.19,3.598,0,70.2
9/1/10,1500,33.14,27.39,32.07,25.31,7.82,205.1,19.62,3.214,0,70.2
9/1/10,1600,33.88,27.55,32.75,24.46,5.75,189,13.41,2.616,0,70.2
9/1/10,1700,34.43,27.65,34.91,26.97,4.6,216.3,15.3,1.895,0,70.2
9/1/10,1800,34.67,27.66,33.46,26.73,1.822,228.8,8.55,1.106,0,70.2
9/1/10,1900,34.4,27.59,36.41,27.34,0.359,253.4,7.2,0.333,0,70.2
9/1/10,2000,31.36,27.4,55.96,36.51,0.003,237.3,0.99,0.005,0,70.2
9/1/10,2100,27.13,27.1,61.79,50.55,1.029,217.7,6.93,0,0,70.2
9/1/10,2200,26.9,26.8,64.67,51.03,1.325,209.1,4.77,0,0,70.2
9/1/10,2300,25.01,26.52,66.26,61.29,0.676,62.56,7.74,0,0,70.2
9/1/10,2400,24.21,26.21,75,62.58,0,0,0,0,0,70.2
10/1/10,100,22.55,25.94,79.1,73.8,0,0,0,0,0,70.2
10/1/10,200,21.87,25.68,79.7,70.8,1.824,62.48,8.55,0,0,70.2
10/1/10,300,21.06,25.42,73,68.44,0.688,28.76,8.82,0,0,70.2
10/1/10,400,20.65,25.22,74.3,72,0,0,0,0,0,70.2
10/1/10,500,20.72,24.99,74.2,69.83,0.179,15.24,4.5,0,0,70.2
10/1/10,600,22.65,24.79,70.9,63.97,2.039,10.97,10.71,0.126,0,70.2
10/1/10,700,25.31,24.62,64.58,56.35,6.839,5.52,16.65,0.777,0,70.2
10/1/10,800,27.03,24.56,58.47,50.11,9.07,354.2,20.16,1.548,0,70.2
10/1/10,900,28.25,24.73,54.47,47,10.22,334.7,22.86,2.297,0,70.2
10/1/10,1000,29.63,25.07,52.14,42.7,8.33,328.2,18.27,2.938,0,70.2
10/1/10,1100,31.9,25.66,47.88,36.64,5.281,263.7,15.03,3.414,0,70.2
10/1/10,1200,33,26.29,44.89,34.2,5.404,240.3,14.22,3.674,0,70.2
10/1/10,1300,33.61,26.96,43.2,32.27,6.777,216.1,16.92,3.711,0,70.2
10/1/10,1400,34.93,27.42,36.81,29.74,10.64,172.1,20.97,3.572,0,70.2
10/1/10,1500,35.85,27.76,34.24,27.6,9.01,165.1,19.35,3.195,0,70.2
10/1/10,1600,36.39,27.97,33.46,24.63,6.638,126.7,20.43,2.545,0,70.2
10/1/10,1700,37.1,28.06,29.06,21.28,6.589,108.7,17.19,1.942,0,70.2
10/1/10,1800,37,28.04,29.03,22.84,6.17,103,12.33,1.079,0,70.2
10/1/10,1900,36.29,27.99,35.36,23.21,2.441,114.5,8.82,0.478,0,70.2
10/1/10,2000,33.02,27.83,48.99,34.17,0.096,137.2,3.15,0.004,0,70.2
10/1/10,2100,31.12,27.55,41.75,33.46,8.13,127.5,17.73,0,0,70.2
10/1/10,2200,30.24,27.26,41.79,38.3,10.73,135.3,17.73,0,0,70.2
10/1/10,2300,28.92,27.01,42.53,39.89,10.02,134.4,17.73,0,0,70.2
10/1/10,2400,28.04,26.73,52.21,41.79,3.865,115.7,11.79,0,0,70.2
11/1/10,100,25.61,26.47,56.31,50.39,1.304,105.5,6.12,0,0,70.2
11/1/10,200,24.74,26.23,57.06,54.42,0.326,95.2,4.5,0,0,70.2
11/1/10,300,24.31,25.95,59.98,55.27,0.169,73.2,5.04,0,0,70.2
11/1/10,400,23.5,25.71,69.59,58.96,0.012,127.5,1.8,0,0,70.2
11/1/10,500,22.21,25.47,70.9,68.88,0.02,117.2,3.15,0.001,0,70.2
11/1/10,600,22.99,25.23,72,66.64,0.108,107.9,4.77,0.121,0,70.2
11/1/10,700,25.78,25,67.12,58.89,2.857,122.3,8.82,0.785,0,70.2
11/1/10,800,29.02,25.01,61.08,45.14,3.531,107.9,11.79,1.551,0,70.2
11/1/10,900,31.36,25.44,49.67,34.55,3.515,63.74,10.44,2.309,0,70.2
11/1/10,1000,32.88,26.35,40.23,30.01,4.873,70.4,12.6,2.969,0,70.2
11/1/10,1100,33.99,27.23,39.75,29.09,3.373,98.9,12.6,3.451,0,70.2
11/1/10,1200,33.58,27.95,40.02,31.77,8.19,185.7,18.54,3.665,0,70.2
11/1/10,1300,34.76,28.45,37.89,29.53,5.9,164.6,14.76,3.712,0,70.2
11/1/10,1400,35.64,28.76,36.16,26.18,6.233,198,16.11,3.571,0,70.2
11/1/10,1500,36.32,28.99,31.97,24.73,5.491,196.4,15.03,3.191,0,70.2
11/1/10,1600,36.86,29.07,32.07,23.14,5.192,216.4,13.95,2.606,0,70.2
11/1/10,1700,37.33,29.1,30.07,23.11,4.582,199.7,13.68,1.874,0,70.2
11/1/10,1800,37.6,29.06,30.41,23.07,3.831,259.2,9.63,1.09,0,70.2
11/1/10,1900,36.42,28.93,33.33,25.98,1.52,265.6,8.28,0.32,0,70.2
11/1/10,2000,33.86,28.68,52.34,33.4,0,0,0,0.008,0,70.2
11/1/10,2100,28.65,28.32,59.52,50.38,0,0,0,0,0,70.2
11/1/10,2200,26.35,27.95,66.94,56.51,0,0,0,0,0,70.2
11/1/10,2300,25.65,27.6,69.1,65.14,0,0,0,0,0,70.2
11/1/10,2400,25.41,27.27,74.6,64.64,0.003,41.14,0.99,0,0,70.2
12/1/10,100,24.61,26.99,74.9,64.13,1.205,49.8,8.28,0,0,70.2
12/1/10,200,26.2,26.75,69.11,50.09,5.372,24.48,15.03,0,0,70.2
12/1/10,300,25.82,26.51,54.99,51.37,5.376,16.11,14.76,0,0,70.2
12/1/10,400,25.08,26.25,57.13,52.79,6.91,16.59,13.14,0,0,70.2
12/1/10,500,24.61,26.03,59.64,56.32,8.67,11.34,17.73,0.001,0,70.2
12/1/10,600,24.37,25.82,61.84,59.2,9.56,12.66,17.46,0.114,0,70.2
12/1/10,700,25.85,25.63,61.36,57.63,10.67,5.899,24.21,0.75,0,70.2
12/1/10,800,27.13,25.52,59.29,54.58,12.8,356.8,24.48,1.502,0,70.2
12/1/10,900,28.62,25.82,55.76,47.94,14.25,351.5,24.48,2.255,0,70.2
12/1/10,1000,30.31,26.56,50.48,41.85,12.96,335.7,23.67,2.904,0,70.2
12/1/10,1100,31.56,27.66,46.46,37.86,11.79,329.5,21.78,3.385,0,70.2
12/1/10,1200,33.55,29.09,43.27,32.61,8.53,310.4,19.62,3.647,0,70.2
12/1/10,1300,35.1,30.62,39.61,29.47,6.212,305.8,18.81,3.687,0,70.2
12/1/10,1400,35.74,31.87,34.64,27.44,8.73,235,16.38,3.537,0,70.2
12/1/10,1500,36.69,32.82,31.06,25.95,6.699,193.9,16.38,3.166,0,70.2
