Date,Time,Air Temp (°C),Soil Temp(°C),Max Relative Humidity (%),Min Relative Humidity (%),Wind Speed (kph),Wind Direction,Maximum Wind (kph),Radiation (MJ/m²),Hourly Rain (mm),Total Rain (mm)
1/01/2012,100,20.42,26.46,60.62,55.24,9.8,283.2,16.65,0,0,0
1/01/2012,200,19.3,25.9,68.95,60.38,1.097,283.8,9.36,0,0,0
1/01/2012,300,17.44,25.37,74.8,68.67,0,0,0,0,0,0
1/01/2012,400,16.32,24.88,79.5,73.1,0,0,0,0,0,0
1/01/2012,500,15.07,24.39,85,79.3,0,0,0,0.001,0,0
1/01/2012,600,17.14,23.95,87.4,81.5,0.005,283.8,1.8,0.179,0,0
1/01/2012,700,20.89,23.67,81,60.28,4.343,195.7,14.22,0.883,0,0
1/01/2012,800,22.27,24.2,61.8,56.75,8.99,125.6,18,1.691,0,0
1/01/2012,900,23.99,25.25,60.17,52.62,8.12,98.6,18.54,2.463,0,0
1/01/2012,1000,26.18,26.89,57.12,45.44,5.407,95.7,13.41,3.204,0,0
1/01/2012,1100,28.01,28.92,51.94,40.94,4.374,75.8,14.22,3.829,0,0
1/01/2012,1200,28.38,30.41,49.5,37.93,5.565,88.8,13.95,2.973,0,0
1/01/2012,1300,29.7,31.67,45.34,32.04,4.661,91.3,13.41,3.611,0,0
1/01/2012,1400,30.17,33.07,39.38,30.96,4.768,200.3,12.06,3.732,0,0
1/01/2012,1500,31.12,33.9,37.46,28.12,3.954,231.9,13.41,3.258,0,0
1/01/2012,1600,31.29,34.06,34.41,27.54,4.712,186,11.79,2.624,0,0
1/01/2012,1700,32.98,33.78,32.38,25.34,3.908,230.8,13.14,1.866,0,0
1/01/2012,1800,32.07,33.58,29.91,20.2,5.048,198.2,11.79,1.062,0,0
1/01/2012,1900,31.39,32.77,28.46,23.62,3.348,181.8,10.17,0.315,0,0
1/01/2012,2000,27.84,31.58,37.19,26.83,0.01,199.6,1.53,0.005,0,0
1/01/2012,2100,22.4,30.35,49.59,36.28,0,0,0,0,0,0
