StationID,local_eastern_time,temp_soil_10cm_C,temp_air_60cm_C,temp_air_2m_C,temp_air_10m_C,rh_2m_pct,temp_dp_2m_C,rain_2m_inches,wind_speed_10m_mph,wind_speed_max_10m_mph,wind_direction_10m_deg,rfd_2m_wm2
250,1/1/2003 0:00,15.91,15.85,16.04,16.02,96.4,15.28,0.009,10.25,41.16,130,8.37
250,1/1/2003 0:15,15.9,15.99,16.17,16.17,96.4,15.42,0,9.45,31.988,141.9,8.38
250,1/1/2003 0:30,15.89,16.17,16.34,16.34,96.4,15.59,0,7.7,32.659,147.5,8.39
250,1/1/2003 0:45,15.89,16.3,16.46,16.5,96.3,15.71,0,7.69,29.528,140.2,8.39
250,1/1/2003 1:00,15.89,16.4,16.58,16.61,96.3,15.81,0,5.205,21.698,163.9,8.39
250,1/1/2003 1:15,15.89,16.49,16.68,16.69,96.3,15.9,0,3.81,14.764,192.4,8.39
250,1/1/2003 1:30,15.9,16.54,16.72,16.73,96.2,15.93,0,2.782,12.974,195.9,8.39
250,1/1/2003 1:45,15.91,16.61,16.8,16.79,96.3,16.02,0,2.628,10.961,196.1,8.39
250,1/1/2003 2:00,15.91,16.56,16.78,16.82,96.2,15.95,0,3.22,17.001,174.6,8.39
250,1/1/2003 2:15,15.92,16.71,16.95,17.02,96.3,16.12,0,4.453,21.027,180.9,8.39
250,1/1/2003 2:30,15.92,16.8,17.02,17.13,96.3,16.21,0,4.35,19.685,197.3,8.39
250,1/1/2003 2:45,15.9,16.66,16.91,17.08,96.1,16.03,0,4.173,21.698,209.8,8.38
250,1/1/2003 3:00,15.87,16.35,16.67,16.95,96,15.71,0,4.088,18.343,212.6,8.28
250,1/1/2003 3:15,15.83,16.09,16.41,16.76,95.8,15.42,0,4.258,18.79,216.9,8.17
250,1/1/2003 3:30,15.78,15.72,16.05,16.58,95.5,15,0,5.037,17.224,222.9,8.04
250,1/1/2003 3:45,15.73,15.41,15.75,16.36,94.9,14.6,0,5,25.948,222.3,7.99
250,1/1/2003 4:00,15.67,15.03,15.4,16.02,94.4,14.14,0,4.052,17.224,216,7.98
250,1/1/2003 4:15,15.61,14.77,15.15,15.73,93.9,13.8,0,3.432,16.777,202.7,7.92
250,1/1/2003 4:30,15.53,14.61,15.03,15.54,93.4,13.55,0,3.51,12.527,216.1,7.92
250,1/1/2003 4:45,15.46,14.2,14.76,15.31,93.3,13.13,0,3.077,12.527,216.6,7.76
250,1/1/2003 5:00,15.39,14.33,14.77,15.32,93,13.21,0,3.528,16.553,208.6,7.85
250,1/1/2003 5:15,15.31,14.39,14.83,15.27,91.8,13.07,0,3.457,15.211,190.4,7.87
250,1/1/2003 5:30,15.23,14.23,14.68,14.94,91.5,12.86,0,3.115,16.33,195,7.74
250,1/1/2003 5:45,15.16,14.07,14.51,14.83,91.7,12.74,0,3.542,16.553,207.1,7.71
250,1/1/2003 6:00,15.09,14.12,14.51,14.89,91.7,12.79,0,3.527,15.659,204,7.71
250,1/1/2003 6:15,15.02,14.14,14.56,15.01,91.2,12.72,0,3.733,18.79,207.8,7.69
250,1/1/2003 6:30,14.95,14.26,14.68,15.11,90.3,12.69,0,3.957,17.448,200.1,7.8
250,1/1/2003 6:45,14.89,14.21,14.69,14.99,89.6,12.52,0,3.532,16.777,213.4,7.7
250,1/1/2003 7:00,14.82,14.05,14.62,15.02,90,12.43,0,3.778,17.672,210.7,7.72
250,1/1/2003 7:15,14.76,14.32,14.79,15.06,90.6,12.8,0,3.682,19.909,209.3,8.11
250,1/1/2003 7:30,14.69,14.51,14.99,15.24,90.9,13.04,0,3.572,16.553,200.9,10.6
250,1/1/2003 7:45,14.64,14.86,15.24,15.48,91.1,13.42,0,4.443,22.146,205.1,22.67
250,1/1/2003 8:00,14.6,15.25,15.51,15.73,91,13.79,0,4.688,19.909,215,37.89
250,1/1/2003 8:15,14.57,15.87,15.98,16.21,90.6,14.33,0,4.77,21.698,218.5,57.6
250,1/1/2003 8:30,14.56,16.75,16.56,16.71,89.9,15.08,0,5.435,21.027,224,111.5
250,1/1/2003 8:45,14.58,17.61,17.25,17.29,88.6,15.7,0,8.09,27.291,235.3,163.9
250,1/1/2003 9:00,14.63,18.16,17.79,17.74,87.3,16.01,0,8.7,31.317,231.7,207.2
250,1/1/2003 9:15,14.71,18.86,18.3,18.21,84.8,16.24,0,8.43,32.436,232,258.8
250,1/1/2003 9:30,14.83,19.47,18.84,18.68,82.3,16.37,0.009,8.99,33.33,237.8,323.1
250,1/1/2003 9:45,14.98,20.01,19.43,19.17,79.1,16.27,0,8.5,34.673,243.1,326.3
250,1/1/2003 10:00,15.17,20.47,19.77,19.44,76.8,16.25,0,9.47,34.896,231.1,372.4
250,1/1/2003 10:15,15.37,20.51,19.91,19.64,75.8,16.09,0,8.46,35.344,231.5,349.7
250,1/1/2003 10:30,15.58,21.24,20.53,20.17,71.5,15.87,0,10.41,47.647,234.4,444.3
250,1/1/2003 10:45,15.79,21.62,20.98,20.55,67.77,15.4,0,11.32,49.213,236.6,472.7
250,1/1/2003 11:00,16.01,21.75,21.29,20.88,62.61,14.29,0,15.23,57.489,237.4,491.6
250,1/1/2003 11:15,16.23,22.36,21.83,21.35,58.96,13.94,0,13.35,47.199,237.7,508.3
250,1/1/2003 11:30,16.44,22.73,22.2,21.68,56.4,13.6,0,13.48,66.437,243.5,533.5
250,1/1/2003 11:45,16.65,23.27,22.67,22.05,54.98,13.71,0,13.4,63.305,243,548.3
250,1/1/2003 12:00,16.86,23.03,22.59,22,54.83,13.44,0,14.2,56.594,238.3,543.5
250,1/1/2003 12:15,17.07,22.66,22.41,21.83,54.23,12.93,0,16.9,63.976,251.6,495.4
250,1/1/2003 12:30,17.26,22.5,22.33,21.79,53.41,12.55,0,17.12,65.319,246.4,383.7
250,1/1/2003 12:45,17.41,22.4,22.18,21.69,54.52,12.77,0,18.389,68.898,248.7,455.6
250,1/1/2003 13:00,17.51,22.72,22.45,21.85,54.46,13.05,0,16.45,62.634,242.5,440
250,1/1/2003 13:15,17.6,22.58,22.28,21.74,55.37,13.18,0,15.75,62.634,251.5,425.1
250,1/1/2003 13:30,17.66,22.33,22.11,21.55,57.77,13.59,0,14.3,57.713,254.7,387.1
250,1/1/2003 13:45,17.71,22.49,22.03,21.44,58.03,13.81,0,16.08,69.121,249,527.5
250,1/1/2003 14:00,17.78,22.03,21.75,21.12,60.01,13.9,0,15.4,52.792,248.7,361.6
250,1/1/2003 14:15,17.88,22.47,21.97,21.41,58.82,14,0,13.79,49.436,243,457.8
250,1/1/2003 14:30,17.97,22.33,22,21.4,58.87,13.89,0,13.02,54.581,257.4,390.4
250,1/1/2003 14:45,18.08,20.92,20.93,20.5,63.71,13.78,0,11.45,51.897,262.1,165.1
250,1/1/2003 15:00,18.15,20.79,20.78,20.48,63.54,13.61,0,12.07,55.7,256.2,168.5
250,1/1/2003 15:15,18.17,21.01,20.72,20.23,64.4,14.03,0,11.82,43.844,261.2,271.5
250,1/1/2003 15:30,18.17,20.22,20.24,19.88,65.71,13.59,0,9.62,38.923,269,130.2
250,1/1/2003 15:45,18.17,20.35,20.25,19.92,65.17,13.59,0,10.84,42.502,264.1,173.3
250,1/1/2003 16:00,18.16,19.96,19.98,19.69,67.15,13.68,0,8.58,31.988,261.8,119.6
250,1/1/2003 16:15,18.14,20.46,20.12,19.76,66.52,14.01,0,9.68,42.949,259.2,216.5
250,1/1/2003 16:30,18.12,19.86,19.75,19.39,66.48,13.43,0,12.91,53.015,256.1,151.5
250,1/1/2003 16:45,18.09,19.26,19.3,19.07,68,13.2,0,11.97,52.568,243,107.4
250,1/1/2003 17:00,18.04,19.08,19.06,18.85,68.88,13.23,0,10.62,39.146,246,107.2
250,1/1/2003 17:15,17.97,18.38,18.6,18.47,70.4,12.89,0,10.2,35.12,245.2,60.72
250,1/1/2003 17:30,17.88,17.84,18.13,18.06,71.9,12.7,0,8.75,33.554,262.1,26.45
250,1/1/2003 17:45,17.77,17.52,17.81,17.73,72.6,12.54,0,9.27,46.976,261.9,12.67
250,1/1/2003 18:00,17.65,17.19,17.52,17.45,72.8,12.26,0,9.79,40.489,257.9,9.02
250,1/1/2003 18:15,17.53,16.84,17.2,17.14,72.4,11.84,0,8.17,31.317,262.4,8.45
250,1/1/2003 18:30,17.41,16.28,16.7,16.7,73.4,11.51,0,7.25,37.581,269.6,8.28
250,1/1/2003 18:45,17.27,15.69,16.17,16.24,75.5,11.37,0,5.315,23.712,268.3,8.09
250,1/1/2003 19:00,17.13,15.18,15.76,15.84,76.9,11.15,0,3.77,21.251,266.2,7.99
250,1/1/2003 19:15,16.99,14.56,15.3,15.46,78.6,10.88,0,3.93,14.987,260.8,7.98
250,1/1/2003 19:30,16.84,14.12,14.88,15.12,80,10.72,0,4.045,14.987,250.5,7.95
250,1/1/2003 19:45,16.69,13.6,14.44,14.84,81.6,10.51,0,3.128,13.198,260.4,7.69
250,1/1/2003 20:00,16.55,13.12,14.05,14.58,83.2,10.33,0,3.013,10.737,259.7,7.6
250,1/1/2003 20:15,16.4,12.77,13.72,14.19,84.5,10.22,0,2.013,8.948,269.5,7.58
250,1/1/2003 20:30,16.26,12.41,13.44,13.91,85.1,9.97,0,1.957,8.948,264.6,7.46
250,1/1/2003 20:45,16.12,12.06,13.07,13.67,87,9.96,0,2.058,9.171,259.4,7.44
250,1/1/2003 21:00,15.99,12.53,13.18,13.7,87.2,10.46,0,1.92,9.395,264.2,7.61
250,1/1/2003 21:15,15.88,12.84,13.37,13.79,87.7,10.85,0,1.338,7.829,267.4,7.75
250,1/1/2003 21:30,15.8,13.19,13.63,13.94,86.8,11.04,0,1.665,8.053,268.6,7.85
250,1/1/2003 21:45,15.73,13.42,13.81,13.99,86.1,11.14,0,1.452,6.711,258.7,7.96
250,1/1/2003 22:00,15.69,13.37,13.81,13.94,86,11.07,0,0.993,4.25,252.1,7.94
250,1/1/2003 22:15,15.65,13.5,13.87,14.06,86.2,11.24,0,1.388,6.04,249.7,7.98
250,1/1/2003 22:30,15.62,13.26,13.79,13.84,85.9,10.95,0,0.792,4.25,246.5,7.61
250,1/1/2003 22:45,15.59,12.06,13.04,13.21,87.1,9.98,0,1.298,6.04,35.76,7.36
250,1/1/2003 23:00,15.52,11.18,12.37,12.96,89.8,9.57,0,1.368,6.487,230.5,7.28
250,1/1/2003 23:15,15.42,10.91,12.01,12.41,90.8,9.46,0,0.96,4.25,209.6,7.2
250,1/1/2003 23:30,15.32,10.39,11.51,11.79,91.6,9.08,0,0.792,3.579,316.4,7.11
250,1/1/2003 23:45,15.2,10.54,11.26,11.51,92.6,9.39,0,1.253,4.474,136,7.14
250,1/2/2003 0:00,15.09,9.99,10.76,11.28,93.2,8.94,0,1.435,6.487,123.1,7.03
250,1/2/2003 0:15,14.98,10.12,10.8,11.15,94.1,9.21,0,1.517,5.369,137.8,7.13
250,1/2/2003 0:30,14.87,9.83,10.47,10.96,94.1,8.93,0,1.32,4.474,130.4,6.967
250,1/2/2003 0:45,14.77,9.45,10.11,10.66,94.6,8.63,0,0.663,2.237,96.3,6.919
250,1/2/2003 1:00,14.67,9.41,10.24,10.87,95.1,8.66,0,1.295,4.698,34.9,7.02
250,1/2/2003 1:15,14.57,9.3,10.38,10.94,95.2,8.57,0,1.5,5.369,320.3,7.1
250,1/2/2003 1:30,14.48,9.36,10.06,10.48,95.1,8.61,0,1.277,4.698,243.4,6.999
250,1/2/2003 1:45,14.39,9.07,9.81,10.31,95.3,8.36,0,0.827,3.579,262.1,6.961
250,1/2/2003 2:00,14.3,9.02,9.68,10.14,95.3,8.31,0,1.182,4.026,162.9,6.954
250,1/2/2003 2:15,14.22,8.67,9.39,9.95,95.7,8.02,0,0.905,4.698,182.1,6.966
250,1/2/2003 2:30,14.15,8.71,9.31,9.7,95.5,8.03,0,0.65,3.579,245,6.863
250,1/2/2003 2:45,14.07,8.57,9.32,9.97,95.9,7.95,0,1.343,6.263,239.4,6.914
250,1/2/2003 3:00,14,9.3,9.93,10.81,96.3,8.74,0,1.363,7.829,195.7,7.05
250,1/2/2003 3:15,13.94,10.34,10.76,11.16,96.5,9.81,0,1.792,9.619,214.4,7.37
250,1/2/2003 3:30,13.88,11.55,11.69,11.74,96.3,10.98,0,2.525,11.408,219.2,7.61
250,1/2/2003 3:45,13.86,11.86,12.04,12.08,96.1,11.26,0,2.955,14.987,236.4,7.76
250,1/2/2003 4:00,13.86,11.81,12.1,12.16,95.7,11.14,0,2.193,8.948,213.8,7.6
250,1/2/2003 4:15,13.87,11.52,11.93,11.99,95.5,10.82,0,1.582,5.816,172.2,7.4
250,1/2/2003 4:30,13.87,10.88,11.46,11.73,95.2,10.14,0,1.218,5.592,140.6,7.3
250,1/2/2003 4:45,13.84,10.84,11.34,11.69,95.6,10.16,0,1.508,6.935,171.2,7.4
250,1/2/2003 5:00,13.8,11.22,11.52,11.7,95.7,10.56,0,1.048,4.698,145.5,7.42
250,1/2/2003 5:15,13.78,11.17,11.48,11.66,95.5,10.48,0,1.975,7.382,137.6,7.37
250,1/2/2003 5:30,13.76,10.79,11.31,11.55,95.6,10.11,0,1.958,6.487,129.4,7.3
250,1/2/2003 5:45,13.74,10,10.75,11.39,95.4,9.3,0,1.927,6.711,127,7.11
