StationID,local_standard_time,temp_soil_10cm_C,temp_air_60cm_C,temp_air_2m_C,temp_air_10m_C,rh_2m_pct,temp_dp_2m_C,rain_2m_inches,wind_speed_10m_mph,wind_speed_max_10m_mph,wind_direction_10m_deg,rfd_2m_wm2
250,1/1/08 0:00,19.585,16.71,16.81,16.718,90.025,15.161,0,0.716,0.953,151.275,0.051
250,1/1/08 1:00,19.492,16.753,16.898,16.802,89.975,15.239,0,1.671,2.28,286.525,0.06
250,1/1/08 2:00,19.39,16.932,17.057,16.972,89.825,15.371,0,1.333,2.211,207.275,0.074
250,1/1/08 3:00,19.34,16.835,16.957,16.832,93.3,15.866,0,0.775,0.93,195.015,0.053
250,1/1/08 4:00,19.25,16.587,16.733,16.6,95.65,16.032,0,0.603,0.88,327.675,0.04
250,1/1/08 5:00,19.078,15.702,15.98,16.03,96.925,15.49,0,1.07,1.605,313.525,0.049
250,1/1/08 6:00,18.895,15.92,16.258,16.33,96.675,15.726,0,2.263,3.526,302,0.026
250,1/1/08 7:00,18.572,14.662,15.273,15.7,96.375,14.697,0,2.626,4.224,306.65,2.558
250,1/1/08 8:00,18.22,16.205,16.235,16.328,87.3,14.106,0,5.359,6,316.375,89.26
250,1/1/08 9:00,18.13,17.968,17.333,17.145,71.715,12.134,0,6.951,8.135,320.125,242.95
250,1/1/08 10:00,18.31,18.902,18.207,17.797,57.122,9.55,0,9.189,9.834,319.325,385.9
250,1/1/08 11:00,18.797,19.822,18.995,18.445,46.657,7.28,0,9.364,9.774,321.85,480.025
250,1/1/08 12:00,19.558,21.345,20.35,19.725,41.225,6.733,0,8.105,8.395,318.35,530.325
250,1/1/08 13:00,20.247,21.645,20.975,20.362,40.237,6.938,0,10.606,10.833,315.45,531.75
250,1/1/08 14:00,20.668,21.453,20.857,20.233,40.523,6.929,0,10.219,10.883,310.55,465.275
250,1/1/08 15:00,21.002,20.42,19.905,19.39,41.883,6.562,0,9.487,10.833,305.75,348.35
250,1/1/08 16:00,20.862,19.115,18.755,18.435,40.013,4.866,0,8.929,10.174,311.95,195.95
250,1/1/08 17:00,20.27,16.645,16.862,16.79,37.047,2.095,0,7.893,9.064,311.675,40.013
250,1/1/08 18:00,19.39,13.93,14.4,14.422,38.267,0.345,0,8.12,10.064,321.85,0.572
250,1/1/08 19:00,18.435,12.338,12.748,12.767,32.472,-3.352,0,9.971,10.863,319.875,0
250,1/1/08 20:00,17.527,10.76,11.195,11.207,34.695,-3.839,0,8.969,9.464,326.775,0
250,1/1/08 21:00,16.76,9.393,9.837,9.877,41.333,-2.696,0,8.837,9.914,329.625,0
250,1/1/08 22:00,16.082,8.328,8.79,8.83,44.682,-2.586,0,7.859,9.404,328.45,0.001
250,1/1/08 23:00,15.48,7.275,7.795,7.822,48.118,-2.499,0,5.625,6.671,310.15,0.003
250,1/2/08 0:00,14.925,6.157,6.651,6.658,51.45,-2.65,0,5.546,6.842,303.225,0.016
250,1/2/08 1:00,14.387,5.33,5.795,5.797,50.703,-3.636,0,6.103,6.63,306.25,0.035
250,1/2/08 2:00,13.847,4.831,5.227,5.191,49.517,-4.474,0,7.795,8.575,311.25,0.055
250,1/2/08 3:00,13.368,4.386,4.806,4.767,48.61,-5.107,0,6.546,7.775,307.45,0.061
