"FAWN Station","Period","2m T avg (F)","2m T min (F)","2m T max (F)","Tsoil avg -10cm (F)","Tsoil min(avg) -10cm (F)","Tsoil max(avg) -10cm (F)","2m DewPt avg (F)","RelHum avg 2m (pct)","2m Rain tot (in)","2m Rain max over 15min(in)","SolRad avg 2m (w/m^2)","10m Wind avg (mph)","10m Wind min (mph)","10m Wind max (mph)","N (# obs)"
"Citra","30 May 2015  12:00 AM","68.96","68.67","69.62","87.22","86.95","87.48","67.05","94","0.00","0.00","0.00","1.63","0.44","2.82","4"
"Citra","30 May 2015  1:00 AM","68.49","68.36","68.74","86.52","86.27","86.77","67.2","96","0.00","0.00","0.00","0.63","0.00","2.24","4"
"Citra","30 May 2015  2:00 AM","67.4","66.97","67.82","85.87","85.62","86.13","66.57","97","0.00","0.00","0.01","0.59","0.00","1.68","4"
"Citra","30 May 2015  3:00 AM","66.79","66.56","67.21","85.24","85.01","85.46","66.29","98","0.00","0.00","0.06","0.67","0.00","1.90","4"
"Citra","30 May 2015  4:00 AM","66.09","65.77","66.34","84.66","84.45","84.88","65.77","99","0.00","0.00","0.09","0.91","0.00","2.20","4"
"Citra","30 May 2015  5:00 AM","66.37","66.25","66.54","84.12","83.91","84.31","66.17","99","0.00","0.00","2.21","0.62","0.00","1.80","4"
"Citra","30 May 2015  6:00 AM","68.86","66.43","71.47","83.62","83.44","83.80","68.7","99","0.00","0.00","83.45","1.55","0.22","4.90","4"
"Citra","30 May 2015  7:00 AM","74.52","72.79","76.23","83.24","83.17","83.34","72.36","93","0.00","0.00","278.05","2.82","0.22","5.94","4"
"Citra","30 May 2015  8:00 AM","78.42","76.95","80.15","83.18","83.16","83.23","72.11","81","0.00","0.00","471.22","3.82","0.40","7.78","4"
"Citra","30 May 2015  9:00 AM","80.64","79.32","81.37","83.44","83.28","83.61","70.75","72","0.00","0.00","427.10","3.74","1.22","7.44","4"
"Citra","30 May 2015  10:00 AM","83.38","82.06","84.29","84.04","83.77","84.36","70.04","64","0.00","0.00","703.68","4.10","0.34","9.94","4"
"Citra","30 May 2015  11:00 AM","85.64","84.99","86.68","85.14","84.65","85.68","68.79","57","0.00","0.00","847.75","5.07","0.66","10.58","4"
"Citra","30 May 2015  12:00 PM","85.28","84.52","85.78","86.68","86.04","87.31","69.15","59","0.00","0.00","526.95","5.55","0.42","13.42","4"
"Citra","30 May 2015  1:00 PM","87.16","84.81","88.29","88.03","87.67","88.36","67.75","53","0.00","0.00","722.28","6.83","2.18","12.96","4"
