,,,,meanU,vectU,wind dir,sdev dir,sdevU,max gust,meanU,sdevU,max gust,solar,RH,Station,Evap,air temp,min air temp,max air temp,soil temp,soil temp,5 min.,5 min.,,,,Bench,Avg CO2,Avg H2O,Avg CO2,Avg H20,Flow Rate,Diff P1,Diff P2,,,Box,,
Unit,Year,Day,Time,@ 10 m,@ 10 m,@ 10 m,@ 10 m,@ 10 m,@ 10 m,@ 2 m,@ 2 m,@ 2 m,@ 2 m,@ 2 m,Press,Pan,@ 2 m,@ 2 m,@ 2 m," @ 4"""," @ 8""",rain,htd rain,bat.,AC,LI7000,temp,@ 2 m,@ 2 m,@ 10 m,@ 10 m,slm,@ 2 m,@ 10 m,Flag 1,Flag 2,temp
,,,,(m/s),(m/s),(deg),(deg),(m/s),(m/s),(m/s),(m/s),(m/s),(W/m2 ),(%),mbar,cm,(C),(C),(C),(C),(C),(mm),(mm),(volt),(volt),Press.,(C),(µm/m),(mm/m),(µm/m),(mm/m),,,,,,(C)

101,2015,1,100,0.862,0.769,128.8,26.61,0.262,2.058,0.822,0.284,2.058,0,95.5,902.5806,9.98,-7.575,-7.823,-7.367,0.278,1.764,0,0,13.53,114.2,3.02018,86.35984,390.02,1.40588,389.8523,1.228442,1.981,0.072,0.007,0,0,-1.419
101,2015,1,200,0.923,0.878,114.1,17.82,0.258,1.666,0.864,0.272,1.666,0,95.5,902.4168,9.98,-7.542,-7.778,-7.325,0.263,1.748,0,0,13.53,114.1,3.26133,86.26482,389.3162,1.394597,389.3573,1.229143,1.988,0.073,0.008,0,0,-1.162
101,2015,1,300,0.601,0.571,88,16.77,0.383,1.666,0.552,0.38,1.666,0,95.4,902.3389,9.98,-7.62,-7.877,-7.325,0.253,1.731,0,0,13.53,114.5,3.372332,86.21748,383.7896,1.357255,383.9016,1.19647,1.989,0.073,0.008,0,0,-1.062
101,2015,1,400,0,0,0,0,0,0,0.417,0.261,0.882,0,95.5,902.2347,9.98,-7.472,-7.686,-7.27,0.25,1.718,0,0,13.52,114.9,3.694763,86.13418,381.1437,1.341715,381.0373,1.200223,1.996,0.074,0.009,0,0,-0.732
101,2015,1,500,0,0,0,0,0,0,0.654,0.325,1.372,0,95.7,902.1224,9.98,-7.403,-8.13,-7.075,0.252,1.708,0,0,13.52,114.9,3.881222,86.07413,376.8415,1.361518,376.7107,1.23062,1.993,0.075,0.01,0,0,-0.608
101,2015,1,600,0,0,0,0,0,0,0.636,0.24,1.274,0,95.6,901.8805,9.98,-7.259,-7.455,-7.019,0.254,1.699,0,0,13.52,114.7,3.986375,85.96497,372.2661,1.351027,372.1258,1.217553,1.993,0.075,0.01,0,0,-0.504
101,2015,1,700,0,0,0,0,0,0,0.446,0.327,1.372,0,95.8,901.7796,9.98,-7.003,-7.287,-6.712,0.254,1.691,0,0,13.52,113.8,4.172423,85.88869,372.6703,1.37749,372.7119,1.25729,1.998,0.076,0.011,0,0,-0.316
101,2015,1,800,0,0,0,0,0,0,0.644,0.261,1.47,0.2101259,95.9,901.8885,9.98,-6.723,-6.99,-6.422,0.255,1.684,0,0,13.51,113.6,4.378902,85.90007,372.2776,1.419385,372.5603,1.3066,2.007,0.077,0.012,0,0,-0.105
101,2015,1,900,0,0,0,0,0,0,0.455,0.333,1.274,15.23066,96,901.9046,9.98,-6.489,-6.816,-6.106,0.259,1.678,0,0,13.5,114.9,4.544821,85.87762,368.1765,1.474317,368.149,1.342957,2.013,0.078,0.012,0,0,0.076
101,2015,1,1000,0,0,0,0,0,0,0.292,0.311,0.98,69.11272,96.1,902.0004,9.98,-5.967,-6.39,-5.588,0.268,1.672,0,0,13.47,114.6,5.077329,85.81651,367.187,1.611837,367.0406,1.4446,2.034,0.081,0.014,0,0,0.667
101,2015,1,1100,0,0,0,0,0,0,0.723,0.277,1.372,114.8121,96.6,902.0303,9.98,-5.756,-6.172,-5.301,0.292,1.671,0,0,13.45,114.2,5.756756,85.7433,369.7792,1.715997,369.5825,1.524743,2.054,0.083,0.017,0,0,1.265
101,2015,1,1200,0,0,0,0,0,0,1.094,0.359,2.058,133.0222,96.6,901.9897,9.98,-5.546,-5.877,-5.234,0.33,1.676,0,0,13.44,114,6.2398,85.66834,364.6095,1.732298,364.4152,1.526298,2.068,0.085,0.018,0,0,1.738
101,2015,1,1300,0,0,0,0,0,0,1.077,0.374,1.96,155.3593,96.7,901.6848,9.98,-5.237,-5.516,-4.836,0.402,1.688,0,0,13.43,114,6.504034,85.51444,358.9794,1.78332,358.7701,1.581913,2.079,0.086,0.019,0,0,2.005
101,2015,1,1400,0,0,0,0,0,0,0.889,0.323,1.862,179.5264,96.5,901.3356,9.98,-4.631,-5.048,-4.243,0.508,1.709,0,0.1,13.41,114.2,7.039971,85.28905,355.7181,1.847602,355.4861,1.674895,2.094,0.089,0.021,0,0,2.614
101,2015,1,1500,0,0,0,0,0,0,1.085,0.318,2.156,144.1225,96.2,901.1887,9.98,-4.488,-4.832,-4.15,0.638,1.743,0,0,13.4,114.6,7.606789,85.17201,352.7368,1.737931,352.4882,1.634418,2.118,0.09,0.022,0,0,3.068
101,2015,1,1600,0.711,0.637,272.6,19.16,0.688,2.058,1.212,0.304,2.94,88.96407,95.9,901.1088,9.98,-4.378,-4.711,-4.074,0.765,1.789,0,0,13.41,114.7,7.620384,85.15179,349.8442,1.659807,349.4911,1.60511,2.124,0.09,0.022,0,0,3.03
101,2015,1,1700,1.279,1.2,290.1,20.06,0.296,2.058,1.198,0.303,2.058,46.53944,95.2,901.1466,9.98,-4.28,-4.592,-4.007,0.847,1.838,0,0,13.41,114.4,7.285904,85.21555,347.4273,1.625718,347.1151,1.57892,2.121,0.088,0.021,0,0,2.729
101,2015,1,1800,0.647,0.585,287.6,23.88,0.37,1.764,0.585,0.375,1.666,10.39632,94.2,901.2522,9.98,-4.225,-4.618,-3.901,0.88,1.879,0,0,13.42,113.6,7.078097,85.27224,346.632,1.563735,346.2664,1.535432,2.122,0.088,0.02,0,0,2.589
101,2015,1,1900,0.49,0.459,257.5,17.47,0.351,1.274,0.46,0.334,1.274,0.04193624,93.9,901.3041,9.98,-4.153,-4.429,-3.884,0.872,1.906,0,0,13.43,113.1,7.241017,85.26202,344.9422,1.478072,344.5575,1.462013,2.132,0.089,0.021,0,0,2.725
101,2015,1,2000,0.34,0.329,275.4,8.66,0.492,1.568,0.383,0.444,1.568,0,93.5,901.4269,9.98,-4.081,-4.495,-3.768,0.848,1.921,0,0,13.43,113.3,7.490215,85.27055,342.9208,1.423835,342.4886,1.385768,2.141,0.09,0.022,0,0,2.919
101,2015,1,2100,1.527,1.461,296.5,16.82,0.449,2.94,1.391,0.419,2.94,0,94.2,901.3921,9.98,-4.428,-4.765,-4.141,0.829,1.929,0,0,13.44,113.7,7.193444,85.34962,338.9914,1.351702,338.5809,1.290628,2.127,0.087,0.02,0,0,2.535
101,2015,1,2200,1.787,1.733,319.1,14.01,0.348,2.94,1.617,0.343,2.842,0,94.6,901.3872,9.98,-4.614,-5.005,-4.249,0.797,1.93,0,0,13.44,114,5.896735,85.59855,336.5519,1.38519,336.2011,1.307093,2.068,0.08,0.014,0,0,1.23
101,2015,1,2300,1.711,1.673,323.6,12.15,0.311,2.548,1.565,0.307,2.45,0,94.7,901.3815,9.98,-4.603,-4.916,-4.215,0.754,1.923,0,0,13.43,114.9,4.945253,85.68346,334.7289,1.46417,334.4111,1.36314,2.05,0.078,0.012,0,0,0.549
101,2015,1,2400,1.833,1.798,333.7,11.25,0.434,3.136,1.686,0.428,3.234,0,95,901.3916,9.98,-4.476,-4.817,-3.704,0.72,1.909,0,0,13.43,116,4.518552,85.72267,333.718,1.551932,333.3838,1.441397,2.046,0.078,0.011,0,0,0.113
101,2015,2,100,1.444,1.398,2.062,14.48,0.324,2.646,1.367,0.33,2.548,0,95.1,901.4399,9.98,-3.983,-5.809,-3.586,0.698,1.896,0,0,13.42,115.2,4.649206,85.63377,346.9225,1.669167,346.6175,1.5281,2.063,0.081,0.013,0,0,0.633
101,2015,2,200,0.975,0.784,49.41,35.59,0.4,2.352,0.933,0.411,2.254,0,95.4,901.4567,9.98,-3.839,-4.494,-3.59,0.696,1.887,0,0,13.42,115.5,5.566092,85.49381,357.4389,1.625642,357.1482,1.481557,2.099,0.084,0.017,0,0,1.482
101,2015,2,300,1.144,1.105,58.64,14.82,0.346,2.352,1.063,0.379,2.254,0,95.9,901.4374,9.98,-3.89,-4.128,-3.669,0.707,1.885,0,0,13.42,115.3,6.282994,85.39923,358.4555,1.558695,358.1653,1.421453,2.122,0.087,0.019,0,0,2.012
101,2015,2,400,1.27,1.241,50.72,12.22,0.31,2.254,1.224,0.32,2.45,0,96.5,901.5051,9.98,-3.957,-4.174,-3.742,0.718,1.888,0,0,13.42,115.4,6.616451,85.38992,359.1833,1.504173,358.9354,1.37152,2.13,0.087,0.02,0,0,2.232
101,2015,2,500,1.282,1.262,31.07,10.21,0.365,2.45,1.295,0.377,2.548,0,97.2,901.4756,9.98,-3.963,-4.181,-3.735,0.727,1.892,0,0,13.43,115.3,6.75716,85.37013,359.1615,1.488413,358.9024,1.350487,2.131,0.088,0.02,0,0,2.356
101,2015,2,600,1.922,1.896,9.8,9.44,0.345,2.94,1.926,0.353,3.038,0,97.2,901.2536,9.98,-3.979,-4.669,-3.712,0.735,1.895,0,0,13.43,114.5,6.55548,85.33104,356.6592,1.484042,356.3718,1.34887,2.116,0.086,0.019,0,0,2.122
101,2015,2,700,1.538,1.421,34.16,22.34,0.469,2.94,1.506,0.481,2.94,0,96.7,901.364,9.97,-3.834,-4.606,-3.583,0.74,1.899,0,0,13.43,114,6.310233,85.3823,355.5808,1.517823,355.361,1.370903,2.115,0.086,0.019,0,0,1.972
101,2015,2,800,1.044,1.017,59.47,12.93,0.223,1.666,0.985,0.242,1.96,0.3259675,95.9,901.5593,9.97,-3.668,-3.887,-3.441,0.739,1.9,0,0,13.42,113.7,6.642473,85.3948,354.9233,1.504527,354.5523,1.364955,2.128,0.088,0.02,0,0,2.296
101,2015,2,900,1.469,1.418,33.32,15.06,0.363,2.548,1.484,0.394,2.94,24.10616,95.5,901.6102,9.97,-3.554,-4.007,-3.32,0.743,1.9,0,0,13.39,114.6,6.972331,85.37116,352.9788,1.501655,352.6672,1.37221,2.138,0.089,0.021,0,0,2.603
101,2015,2,1000,1.722,1.682,26.62,12.35,0.382,2.842,1.789,0.393,2.94,59.33231,95.1,901.6861,9.98,-3.233,-3.862,-2.875,0.776,1.903,0,0,13.4,114.4,7.096601,85.38441,351.0299,1.590175,350.7568,1.464597,2.145,0.09,0.022,0,0,2.78
101,2015,2,1100,1.583,1.548,45.57,12.12,0.309,2.548,1.583,0.324,2.744,69.90127,93.4,901.7474,9.97,-2.802,-3.159,-2.457,0.858,1.918,0,0,13.39,114.1,7.4648,85.34097,349.8094,1.609213,349.4874,1.529695,2.164,0.092,0.023,0,0,3.178
101,2015,2,1200,1.646,1.561,29.08,18.34,0.407,2.94,1.658,0.397,3.332,71.17329,92.2,901.5463,9.97,-2.545,-3.188,-2.247,0.957,1.946,0,0,13.38,114,7.877203,85.21173,347.3679,1.539587,347.0181,1.53449,2.176,0.093,0.025,0,0,3.558
101,2015,2,1300,1.909,1.865,30.77,12.23,0.374,3.038,1.931,0.415,3.234,85.14194,91.8,901.1619,9.97,-2.248,-2.914,-1.812,1.056,1.984,0,0.1,13.36,114.5,8.126833,85.0262,344.9709,1.545675,344.6103,1.578117,2.183,0.094,0.026,0,0,3.817
101,2015,2,1400,2.209,2.176,40.1,9.94,0.352,3.234,2.264,0.383,3.528,45.87764,92.4,900.8847,9.98,-1.94,-2.232,-1.645,1.145,2.028,0,0.2,13.36,114.5,8.415438,84.86143,342.2962,1.572387,341.9366,1.599273,2.202,0.096,0.027,0,0,4.169
101,2015,2,1500,1.924,1.899,37.13,9.14,0.285,2.842,1.957,0.312,2.94,22.15679,94.1,900.674,9.98,-1.702,-1.942,-1.398,1.199,2.069,1.2,1.9,13.35,114.4,8.634234,84.7525,339.8661,1.63648,339.5168,1.61895,2.179,0.097,0.027,0,0,4.351
101,2015,2,1600,0.151,0.149,48.91,2.436,0.457,2.058,0.36,0.619,2.352,19.35944,95.8,900.5861,9.98,-1.481,-1.917,-1.198,1.217,2.1,1.7,2.1,13.35,114.3,8.773118,84.69563,337.3708,1.728341,337.0528,1.628712,2.139,0.097,0.028,0,0,4.408
101,2015,2,1700,0,0,0,0,0,0,0,0,0,18.11094,95.2,900.4963,9.98,-1.38,-1.684,-1.106,1.214,2.115,0.4,0.7,13.35,114.3,8.920193,84.63602,339.1804,1.690987,338.28,1.567407,2.143,0.098,0.028,0,0,4.434
101,2015,2,1800,0,0,0,0,0,0,0,0,0,4.353897,95.8,900.316,9.98,-1.381,-1.895,-1.093,1.226,2.125,0,0.1,13.35,113.3,8.887901,84.57798,333.7922,1.676567,333.3273,1.494395,2.139,0.098,0.028,0,0,4.308
101,2015,2,1900,0,0,0,0,0,0,0,0,0,9.204438E-005,95.5,900.2977,9.98,-1.317,-1.889,-1.093,1.232,2.138,0,0,13.36,112.7,8.939192,84.55515,331.4005,1.661,330.975,1.457278,2.144,0.098,0.028,0,0,4.43
101,2015,2,2000,0,0,0,0,0,0,0,0,0,0,95.7,900.201,9.98,-1.338,-1.849,-1.099,1.223,2.149,0,0,13.36,113.4,8.851892,84.52869,329.5549,1.64685,329.1264,1.443427,2.142,0.098,0.028,0,0,4.287
101,2015,2,2100,0,0,0,0,0,0,0,0,0,0,96.3,900.1587,9.98,-1.23,-1.521,-0.878,1.208,2.156,0,0,13.34,114.6,8.907248,84.50108,329.8413,1.67733,329.2569,1.518175,2.141,0.098,0.028,0,0,4.365
101,2015,2,2200,0,0,0,0,0,0,0,0,0,0,97.3,900.0803,9.98,-1.25,-1.615,-0.892,1.208,2.161,0,0.1,13.32,114.9,9.025918,84.45029,330.6438,1.715715,329.9214,1.558717,2.146,0.099,0.028,0,0,4.577
101,2015,2,2300,0,0,0,0,0,0,0,0,0,0,97.7,900.1174,9.98,-1.444,-1.658,-1.222,1.222,2.167,0,0,13.33,115,9.20175,84.44808,328.0626,1.626088,327.4708,1.447913,2.149,0.099,0.029,0,0,4.693
101,2015,2,2400,0,0,0,0,0,0,0,0,0,0,98.4,900.1547,9.98,-1.601,-2.001,-1.304,1.23,2.175,0,0,13.35,115.7,9.182721,84.47047,324.7605,1.568288,324.2385,1.38671,2.139,0.099,0.029,0,0,4.622
101,2015,3,100,0,0,0,0,0,0,0,0,0,0,98.7,899.8711,9.98,-1.669,-1.99,-1.449,1.225,2.179,0,0,13.32,115.6,9.287682,84.33947,327.0639,1.480383,326.2592,1.307533,2.14,0.099,0.029,0,0,4.755
101,2015,3,200,0,0,0,0,0,0,0,0,0,0,98.7,899.6498,9.98,-1.629,-1.852,-1.406,1.231,2.181,0,0,13.35,115.9,9.501356,84.21958,326.6707,1.422172,325.826,1.271818,2.142,0.1,0.03,0,0,4.929
101,2015,3,300,0,0,0,0,0,0,0,0,0,0,98.8,899.5478,9.98,-1.639,-1.822,-1.436,1.244,2.188,0,0,13.35,116.2,9.571438,84.1682,324.3081,1.39524,323.6002,1.249247,2.148,0.1,0.03,0,0,4.973
101,2015,3,400,0,0,0,0,0,0,0,0,0,0,98.5,899.4716,9.98,-1.827,-2.096,-1.584,1.258,2.197,0,0,13.36,116.3,9.183702,84.21303,320.6734,1.321015,320.142,1.18052,2.134,0.098,0.028,0,0,4.623
101,2015,3,500,0,0,0,0,0,0,0,0,0,0,96.5,899.3896,9.98,-1.903,-2.115,-1.689,1.266,2.206,0,0,13.37,116,8.678576,84.25612,318.5602,1.29675,318.0847,1.147342,2.118,0.096,0.026,0,0,4.22
101,2015,3,600,0,0,0,0,0,0,0,0,0,0,95.1,899.3004,9.98,-2.159,-2.533,-1.762,1.269,2.213,0,0,13.38,115.7,8.326681,84.25945,317.9057,1.194745,317.332,1.053903,2.111,0.095,0.025,0,0,3.972
101,2015,3,700,0,0,0,0,0,0,0,0,0,0,95.6,899.2274,9.98,-3.234,-4.31,-2.265,1.262,2.218,0,0,13.42,115,8.018181,84.28165,319.2706,0.8682533,318.5357,0.7571283,2.103,0.093,0.024,0,0,3.654
101,2015,3,800,0,0,0,0,0,0,0,0,0,1.323417,94.6,899.2764,9.98,-6.298,-8.02,-4.145,1.217,2.215,0,0,13.5,114.4,7.049779,84.50199,317.7217,0.16456,317.147,0.08415332,2.061,0.087,0.019,0,0,2.469
101,2015,3,900,0,0,0,0,0,0,0,0,0,33.88323,97.3,899.2328,9.98,-6.39,-7.901,-4.794,1.152,2.201,0,0,13.48,114.5,5.434176,84.68647,313.5503,0.3025433,312.9675,0.253335,2.007,0.081,0.013,0,0,0.753
101,2015,3,1000,0,0,0,0,0,0,0,0,0,155.6069,97.9,899.2722,9.98,-4.093,-4.926,-3.316,1.096,2.179,0,0,13.42,114.1,5.378201,84.62819,304.3073,0.9643199,303.7498,0.9084183,2.014,0.084,0.016,0,0,1.118
101,2015,3,1100,0,0,0,0,0,0,0,0,0,295.9955,96.5,899.2983,9.98,-3.076,-3.691,-2.358,1.068,2.154,0,0,13.38,114.1,6.407544,84.47839,303.4942,1.264727,302.9948,1.179568,2.056,0.089,0.02,0,0,2.305
101,2015,3,1200,0,0,0,0,0,0,0,0,0,268.6908,92.5,899.1957,9.98,-1.974,-2.728,-0.859,1.095,2.138,0,0.2,13.35,114.4,7.38215,84.31413,302.8424,1.331217,302.334,1.328657,2.085,0.093,0.023,0,0,3.223
101,2015,3,1300,0.171,0.169,261.5,1.449,0.949,8.23,0.106,0.639,5.684,473.0679,88.4,899.0106,9.98,-0.008,-1.081,1.041,1.176,2.142,1.5,4.6,13.31,115.3,8.303833,84.10277,299.5731,1.625847,298.9709,1.747505,2.125,0.097,0.027,0,0,4.143
101,2015,3,1400,6.392,6.295,273.1,9.98,1.213,10.19,5.218,1.086,9.21,389.3339,81.2,898.9537,9.98,1.346,0.8,1.862,1.356,2.173,3.4,1.7,13.27,116,9.324373,83.87908,299.2108,1.995933,298.7069,2.135673,2.111,0.103,0.031,0,0,5.165
101,2015,3,1500,7.127,7.043,277.2,8.81,1.239,10.49,5.894,1.062,9.21,425.2879,78.37,899.0176,9.98,2.046,1.413,2.84,1.617,2.247,0.6,0.1,13.25,116.6,10.19689,83.77358,301.9194,1.834458,301.3537,2.530932,2.146,0.106,0.034,0,0,5.969
101,2015,3,1600,5.721,5.6,281.2,11.79,1.267,10.09,4.77,1.083,9.02,321.351,76.59,899.2933,9.98,3.337,2.546,4.098,1.928,2.371,0,0,13.24,115.1,10.98931,83.75542,302.4142,1.784088,301.8024,2.81652,2.148,0.109,0.035,0,0,6.764
101,2015,3,1700,6.266,6.192,293.2,8.85,1.347,10.19,5.156,1.19,9.02,193.8992,75.77,899.6284,9.98,3.679,3.373,3.969,2.321,2.541,0.1,0,13.23,114.5,11.50903,83.84298,302.4201,1.59815,301.7668,2.143318,2.179,0.111,0.036,0,0,7.205
101,2015,3,1800,3.561,3.507,279.6,9.98,1.051,6.958,2.762,0.947,5.684,45.34626,77.64,899.9528,9.98,3.203,2.346,3.893,2.527,2.725,0,0,13.25,115,11.96426,83.88945,303.0143,1.294722,302.3129,1.401122,2.212,0.113,0.037,0,0,7.798
101,2015,3,1900,3.01,2.973,280.4,8.98,0.502,4.606,2.057,0.396,3.724,0.1758643,82.9,900.2169,9.98,1.808,1.127,2.551,2.381,2.838,0,0,13.3,113.8,12.12176,84.03324,305.4584,0.92316,304.3257,0.7410083,2.201,0.111,0.037,0,0,7.477
101,2015,3,2000,2.888,2.846,277.9,9.88,0.92,6.076,1.771,0.703,4.116,0,85.2,900.569,9.98,1.033,0.347,1.509,2.042,2.83,0,0,13.32,113.9,11.62777,84.2711,308.5535,0.8367217,307.041,0.5929,2.192,0.109,0.034,0,0,6.806
101,2015,3,2100,2.173,2.128,272.8,11.72,0.854,4.802,1.097,0.706,3.234,0,81.2,900.9855,9.97,0.785,0.023,1.621,1.751,2.741,0,0,13.34,114.3,11.13339,84.50711,309.6401,0.6838017,308.3582,0.5881466,2.173,0.107,0.032,0,0,6.327
101,2015,3,2200,1.739,1.661,302.3,17.13,0.441,2.842,0.656,0.436,1.764,0,85.2,901.3577,9.97,-0.255,-1.081,0.421,1.55,2.632,0,0,13.37,114.6,10.7364,84.72097,313.582,0.388225,309.1644,0.3392483,2.167,0.105,0.031,0,0,5.76
101,2015,3,2300,3.244,3.127,1.31,15.35,0.799,5.586,2.109,0.79,4.606,0,88.3,901.6735,9.97,-0.756,-1.639,0.172,1.412,2.533,0,0,13.37,115.1,10.00957,84.97446,307.7793,0.5143816,305.7726,0.34849,2.152,0.1,0.028,0,0,5.022
101,2015,3,2400,6.217,6.134,4.5,9.35,1.267,10.39,5.153,1.116,9.8,0,84.3,901.9298,9.97,-0.161,-1.335,0.561,1.311,2.451,0,0,13.35,115.4,9.233232,85.20401,302.1101,0.8227299,301.6318,0.6211083,2.128,0.098,0.025,0,0,4.472
101,2015,4,100,6.792,6.688,15.77,10.04,1.275,11.37,5.765,1.159,11.17,0,85.2,902.212,9.97,-0.787,-1.411,-0.305,1.233,2.381,0,0,13.35,116.1,8.468681,85.40138,301.4883,0.6368333,301.0489,0.5343716,2.117,0.096,0.023,0,0,3.947
101,2015,4,200,7.673,7.532,9.45,10.98,1.566,13.92,6.46,1.327,12.15,0,86.6,902.4368,9.98,-0.795,-2.429,-0.2,1.168,2.323,0,0,13.35,116.4,8.31077,85.49456,301.47,0.6958983,301.0541,0.6040916,2.116,0.096,0.023,0,0,3.946
101,2015,4,300,7.288,7.139,1.093,11.58,1.6,12.05,6.092,1.361,11.27,0,88.5,902.8885,9.98,-3.091,-4.739,-1.742,1.116,2.271,0,0,13.41,116.4,7.140567,85.92063,302.0578,0.2554583,301.6752,0.1159667,2.073,0.088,0.017,0,0,2.387
101,2015,4,400,5.662,5.564,1.108,10.68,1.352,10.88,4.733,1.125,8.62,0,80.7,903.2148,9.98,-5.269,-6.269,-3.819,1.059,2.223,0,0,13.47,116,5.455122,86.30206,410.9066,1.660082,411.0061,1.64338,2.011,0.081,0.011,0,0,0.794
101,2015,4,500,5.388,5.317,353.7,9.33,1.086,8.92,4.504,0.938,8.33,0,81.2,903.4666,9.98,-6.348,-7.876,-5.446,0.981,2.174,0,0,13.5,115.3,3.681966,86.62941,420.7791,1.518715,420.7402,1.583753,1.965,0.074,0.006,0,0,-1.013
101,2015,4,600,5.314,5.267,344,7.636,1.104,9.8,4.349,0.928,8.23,0,82.2,903.57,9.98,-7.451,-8.07,-6.314,0.89,2.119,0,0,13.53,114.3,2.036752,86.83755,420.5312,1.323788,420.4325,1.33142,1.971,0.069,0.003,0,0,-2.76
101,2015,4,700,5.132,5.089,340.3,7.484,1.05,8.23,4.103,0.883,6.958,0,79.86,903.8582,10.01,-8.22,-8.66,-7.314,0.788,2.058,0,0,13.55,113.9,0.3089442,87.10603,417.8605,1.039528,417.7679,1.074222,1.935,0.065,-0.001,0,0,-4.447
101,2015,4,800,4.725,4.668,331.1,8.86,0.812,7.35,3.804,0.718,6.174,1.328186,79.18,904.1853,10.03,-8.84,-9.36,-8.05,0.675,1.989,0,0,13.58,113.8,-0.8130293,87.3351,418.6478,0.9914783,418.5867,1.02423,1.915,0.062,-0.003,0,0,-5.641
101,2015,4,900,5.188,5.121,336.8,9.19,0.875,8.33,4.237,0.786,7.056,77.79234,75.51,904.4543,10.04,-9.01,-9.4,-8.16,0.555,1.915,0,0,13.54,114.4,-1.568962,87.46608,417.6464,0.9779966,417.5811,1.07347,1.909,0.062,-0.003,0,0,-6.254
101,2015,4,1000,4.995,4.925,342.6,9.54,0.805,7.448,4.175,0.724,6.37,238.8611,72.51,904.6995,10.04,-8.44,-9.04,-7.206,0.445,1.837,0,0,13.5,114.6,-1.261735,87.49284,415.2423,0.9078883,415.1702,1.163128,1.947,0.065,-0.001,0,0,-5.614
