Day,TOD,Day2,TOD2
1,0,1,100
1,15,1,200
1,30,1,300
1,45,1,400
1,100,1,500
1,115,1,600
1,130,1,700
1,145,1,800
1,200,1,900
1,215,1,1000
1,230,1,1100
1,245,1,1200
1,300,1,1300
1,315,1,1400
1,330,1,1500
1,345,1,1600
1,400,1,1700
1,415,1,1800
1,430,1,1900
1,445,1,2000
1,500,1,2100
1,515,1,2200
1,530,1,2300
1,545,1,2400
1,600,2,100
1,615,2,200
1,630,2,300
1,645,2,400
1,700,2,500
1,715,2,600
1,730,2,700
1,745,2,800
1,800,2,900
1,815,2,1000
1,830,2,1100
1,845,2,1200
1,900,2,1300
1,915,2,1400
1,930,2,1500
1,945,2,1600
1,1000,2,1700
1,1015,2,1800
1,1030,2,1900
1,1045,2,2000
1,1100,2,2100
1,1115,2,2200
1,1130,2,2300
1,1145,2,2400
1,1200,3,100
1,1215,3,200
1,1230,3,300
1,1245,3,400
1,1300,3,500
1,1315,3,600
1,1330,3,700
1,1345,3,800
1,1400,3,900
1,1415,3,1000
1,1430,3,1100
1,1445,3,1200
1,1500,3,1300
1,1515,3,1400
1,1530,3,1500
1,1545,3,1600
1,1600,3,1700
1,1615,3,1800
1,1630,3,1900
1,1645,3,2000
1,1700,3,2100
1,1715,3,2200
1,1730,3,2300
1,1745,3,2400
1,1800,4,100
1,1815,4,200
1,1830,4,300
1,1845,4,400
1,1900,4,500
1,1915,4,600
1,1930,4,700
1,1945,4,800
1,2000,4,900
1,2015,4,1000
1,2030,4,1100
1,2045,4,1200
1,2100,4,1300
1,2115,4,1400
1,2130,4,1500
1,2145,4,1600
1,2200,4,1700
1,2215,4,1800
1,2230,4,1900
1,2245,4,2000
1,2300,4,2100
1,2315,4,2200
1,2330,4,2300
1,2345,4,2400
2,0,5,100
2,15,5,200
2,30,5,300
2,45,5,400
2,100,5,500
2,115,5,600
2,130,5,700
2,145,5,800
2,200,5,900
2,215,5,1000
2,230,5,1100
2,245,5,1200
2,300,5,1300
2,315,5,1400
2,330,5,1500
2,345,5,1600
2,400,5,1700
2,415,5,1800
2,430,5,1900
2,445,5,2000
2,500,5,2100
2,515,5,2200
2,530,5,2300
2,545,5,2400
2,600,6,100
2,615,6,200
2,630,6,300
2,645,6,400
2,700,6,500
2,715,6,600
2,730,6,700
2,745,6,800
2,800,6,900
2,815,6,1000
2,830,6,1100
2,845,6,1200
2,900,6,1300
2,915,6,1400
2,930,6,1500
2,945,6,1600
2,1000,6,1700
2,1015,6,1800
2,1030,6,1900
2,1045,6,2000
2,1100,6,2100
2,1115,6,2200
2,1130,6,2300
2,1145,6,2400
2,1200,7,100
2,1215,7,200
2,1230,7,300
2,1245,7,400
2,1300,7,500
2,1315,7,600
2,1330,7,700
2,1345,7,800
2,1400,7,900
2,1415,7,1000
2,1430,7,1100
2,1445,7,1200
2,1500,7,1300
2,1515,7,1400
